window,symbol,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio
2022 Bear,000530.SZ,2022-01-04,2022-01-11,6.86,7.8,0.13702623906705536,0.13392623906705536,14500,0.0031
2022 Bear,000953.SZ,2022-01-04,2022-01-11,6.51,5.55,-0.14746543778801846,-0.15056543778801845,15300,0.0031
2022 Bear,001317.SZ,2022-01-04,2022-01-11,80.0,82.12,0.026499999999999968,0.02339999999999997,1200,0.0031
2022 Bear,000503.SZ,2022-01-04,2022-01-11,18.26,16.5,-0.09638554216867479,-0.09948554216867479,5400,0.0031
2022 Bear,002316.SZ,2022-01-04,2022-01-11,5.41,5.7,0.05360443622920519,0.05050443622920519,18400,0.0031
2022 Bear,000681.SZ,2022-01-04,2022-01-11,25.5,23.33,-0.08509803921568637,-0.08819803921568638,3900,0.0031
2022 Bear,000665.SZ,2022-01-04,2022-01-11,7.17,9.31,0.298465829846583,0.25,13900,0.0031
2022 Bear,000629.SZ,2022-01-04,2022-01-11,4.3,4.41,0.0255813953488373,0.0224813953488373,23200,0.0031
2022 Bear,000863.SZ,2022-01-04,2022-01-11,3.88,4.39,0.13144329896907214,0.12834329896907215,25700,0.0031
2022 Bear,000597.SZ,2022-01-04,2022-01-11,7.52,6.19,-0.1768617021276595,-0.1799617021276595,13200,0.0031
2022 Bear,000503.SZ,2022-01-11,2022-01-18,16.29,13.52,-0.17004297114794353,-0.17314297114794353,6200,0.0031
2022 Bear,001317.SZ,2022-01-11,2022-01-18,78.0,85.03,0.09012820512820507,0.08702820512820507,1300,0.0031
2022 Bear,000620.SZ,2022-01-11,2022-01-18,3.08,3.28,0.06493506493506485,0.06183506493506485,32900,0.0031
2022 Bear,000530.SZ,2022-01-11,2022-01-18,7.9,7.25,-0.08227848101265822,-0.08537848101265823,12800,0.0031
2022 Bear,000665.SZ,2022-01-11,2022-01-18,8.6,10.18,0.1837209302325582,0.1806209302325582,11800,0.0031
2022 Bear,000681.SZ,2022-01-11,2022-01-18,23.54,24.57,0.04375531011045042,0.04065531011045042,4300,0.0031
2022 Bear,001219.SZ,2022-01-11,2022-01-18,33.64,32.26,-0.04102259215219983,-0.04412259215219983,3000,0.0031
2022 Bear,000812.SZ,2022-01-11,2022-01-18,8.27,8.36,0.010882708585247869,0.0077827085852478686,12200,0.0031
2022 Bear,000892.SZ,2022-01-11,2022-01-18,4.52,4.5,-0.004424778761061843,-0.007524778761061843,22400,0.0031
2022 Bear,000863.SZ,2022-01-11,2022-01-18,4.28,4.05,-0.053738317757009435,-0.056838317757009434,23700,0.0031
2022 Bear,001227.SZ,2022-01-18,2022-01-25,6.22,5.83,-0.06270096463022501,-0.06580096463022501,16300,0.0031
2022 Bear,002330.SZ,2022-01-18,2022-01-25,11.0,10.32,-0.06181818181818177,-0.06491818181818178,9200,0.0031
2022 Bear,000503.SZ,2022-01-18,2022-01-25,13.55,11.51,-0.15055350553505542,-0.1536535055350554,7500,0.0031
2022 Bear,002178.SZ,2022-01-18,2022-01-25,5.6,5.01,-0.10535714285714282,-0.10845714285714282,18100,0.0031
2022 Bear,000665.SZ,2022-01-18,2022-01-25,9.51,9.18,-0.034700315457413256,-0.037800315457413254,10700,0.0031
2022 Bear,000892.SZ,2022-01-18,2022-01-25,4.7,3.65,-0.22340425531914898,-0.22650425531914897,21600,0.0031
2022 Bear,000530.SZ,2022-01-18,2022-01-25,7.13,6.0,-0.15848527349228614,-0.16158527349228613,14200,0.0031
2022 Bear,000620.SZ,2022-01-18,2022-01-25,3.08,4.38,0.42207792207792205,0.25,33000,0.0031
2022 Bear,002316.SZ,2022-01-18,2022-01-25,6.93,8.03,0.1587301587301586,0.15563015873015862,14600,0.0031
2022 Bear,001317.SZ,2022-01-18,2022-01-25,92.0,58.84,-0.36043478260869566,-0.25,1100,0.0031
2022 Bear,001296.SZ,2022-01-25,2022-02-08,35.98,37.79,0.05030572540300171,0.04720572540300171,2600,0.0031
2022 Bear,002316.SZ,2022-01-25,2022-02-08,7.23,6.27,-0.13278008298755195,-0.13588008298755194,13200,0.0031
2022 Bear,000711.SZ,2022-01-25,2022-02-08,3.7,3.96,0.07027027027027022,0.06717027027027021,25900,0.0031
2022 Bear,000620.SZ,2022-01-25,2022-02-08,4.56,3.17,-0.3048245614035088,-0.25,21000,0.0031
2022 Bear,002330.SZ,2022-01-25,2022-02-08,10.0,8.43,-0.15700000000000003,-0.16010000000000002,9500,0.0031
2022 Bear,002006.SZ,2022-01-25,2022-02-08,20.35,18.79,-0.0766584766584768,-0.07975847665847681,4700,0.0031
2022 Bear,002178.SZ,2022-01-25,2022-02-08,4.8,5.06,0.054166666666666696,0.0510666666666667,19900,0.0031
2022 Bear,000503.SZ,2022-01-25,2022-02-08,11.69,11.3,-0.03336184773310513,-0.03646184773310513,8200,0.0031
2022 Bear,001317.SZ,2022-01-25,2022-02-08,58.3,59.67,0.02349914236706696,0.020399142367066962,1600,0.0031
2022 Bear,000953.SZ,2022-01-25,2022-02-08,5.44,5.78,0.0625,0.0594,17600,0.0031
2022 Bear,000620.SZ,2022-02-08,2022-02-15,3.08,3.17,0.02922077922077926,0.02612077922077926,29700,0.0031
2022 Bear,000856.SZ,2022-02-08,2022-02-15,11.47,13.05,0.1377506538796862,0.13465065387968622,7900,0.0031
2022 Bear,000503.SZ,2022-02-08,2022-02-15,11.3,11.32,0.001769911504424737,-0.0013300884955752628,8000,0.0031
2022 Bear,002330.SZ,2022-02-08,2022-02-15,8.4,8.31,-0.010714285714285676,-0.013814285714285677,10800,0.0031
2022 Bear,002037.SZ,2022-02-08,2022-02-15,14.83,17.53,0.18206338503034392,0.17896338503034392,6100,0.0031
2022 Bear,000519.SZ,2022-02-08,2022-02-15,18.6,19.58,0.05268817204301057,0.049588172043010574,4900,0.0031
2022 Bear,002316.SZ,2022-02-08,2022-02-15,6.29,6.18,-0.01748807631160576,-0.02058807631160576,14500,0.0031
2022 Bear,001296.SZ,2022-02-08,2022-02-15,37.22,37.1,-0.003224073078989753,-0.0063240730789897535,2400,0.0031
2022 Bear,000608.SZ,2022-02-08,2022-02-15,3.49,3.53,0.011461318051575908,0.008361318051575908,26200,0.0031
2022 Bear,000933.SZ,2022-02-08,2022-02-15,13.07,12.4,-0.051262433052792655,-0.054362433052792654,7000,0.0031
2022 Bear,002330.SZ,2022-02-15,2022-02-22,8.37,7.83,-0.06451612903225801,-0.06761612903225801,11200,0.0031
2022 Bear,000620.SZ,2022-02-15,2022-02-22,3.2,3.18,-0.006249999999999978,-0.009349999999999978,29400,0.0031
2022 Bear,002316.SZ,2022-02-15,2022-02-22,6.3,6.51,0.03333333333333344,0.03023333333333344,14900,0.0031
2022 Bear,002037.SZ,2022-02-15,2022-02-22,17.77,17.89,0.006752954417557744,0.003652954417557744,5300,0.0031
2022 Bear,000711.SZ,2022-02-15,2022-02-22,4.35,4.22,-0.029885057471264354,-0.03298505747126435,21600,0.0031
2022 Bear,001296.SZ,2022-02-15,2022-02-22,36.8,37.72,0.025000000000000133,0.021900000000000135,2500,0.0031
2022 Bear,000856.SZ,2022-02-15,2022-02-22,12.21,11.76,-0.03685503685503699,-0.03995503685503699,7700,0.0031
2022 Bear,000665.SZ,2022-02-15,2022-02-22,8.74,7.82,-0.10526315789473684,-0.10836315789473684,10800,0.0031
2022 Bear,000915.SZ,2022-02-15,2022-02-22,33.85,34.84,0.029246676514032455,0.026146676514032456,2700,0.0031
2022 Bear,002178.SZ,2022-02-15,2022-02-22,4.98,6.39,0.2831325301204817,0.25,18900,0.0031
