window,regime,model,symbol,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio
2022 Bear,bear,10d_15%,001317.SZ,2022-01-05,2022-01-12,80.0,84.1,0.05125000000000002,0.04815000000000002,5000,0.0031
2022 Bear,bear,10d_15%,002034.SZ,2022-01-05,2022-01-12,19.5,19.75,0.012820512820512775,0.009720512820512775,20500,0.0031
2022 Bear,bear,10d_15%,000503.SZ,2022-01-10,2022-01-17,15.67,14.29,-0.08806636885768993,-0.09116636885768993,5000,0.0031
2022 Bear,sideways,5d_10%,001227.SZ,2022-01-17,2022-01-24,5.65,6.48,0.14690265486725673,0.14380265486725674,72000,0.0031
2022 Bear,bear,10d_15%,002330.SZ,2022-01-18,2022-01-25,11.0,10.32,-0.06181818181818177,-0.06491818181818178,44300,0.0031
2022 Bear,bear,10d_15%,002316.SZ,2022-01-20,2022-01-27,9.16,6.51,-0.2893013100436681,-0.2924013100436681,10600,0.0031
2022 Bear,bear,10d_15%,000711.SZ,2022-01-24,2022-02-07,3.88,4.37,0.12628865979381443,0.12318865979381442,50600,0.0031
2022 Bear,bear,10d_15%,001296.SZ,2022-01-24,2022-02-07,35.65,36.64,0.027769985974754663,0.024669985974754664,5500,0.0031
2022 Bear,bear,10d_15%,002316.SZ,2022-01-27,2022-02-10,5.86,7.03,0.19965870307167233,0.19655870307167234,42600,0.0031
2022 Bear,bear,10d_15%,000519.SZ,2022-02-08,2022-02-15,18.6,19.58,0.05268817204301057,0.049588172043010574,17100,0.0031
2022 Bear,bear,10d_15%,002037.SZ,2022-02-09,2022-02-16,16.31,19.28,0.1820968730839978,0.1789968730839978,11700,0.0031
2022 Bear,sideways,5d_10%,000620.SZ,2022-02-10,2022-02-17,3.83,3.02,-0.21148825065274157,-0.21458825065274156,61300,0.0031
2022 Bear,bear,10d_15%,000711.SZ,2022-02-17,2022-02-24,4.77,3.84,-0.19496855345911945,-0.19806855345911945,92000,0.0031
2022 Bear,bear,10d_15%,002037.SZ,2022-02-17,2022-02-24,15.62,14.49,-0.07234314980793843,-0.07544314980793844,28100,0.0031
2022 Bear,bear,10d_15%,000620.SZ,2022-02-18,2022-02-25,3.39,2.99,-0.11799410029498525,-0.12109410029498525,51600,0.0031
2022 Bear,bear,10d_15%,001227.SZ,2022-02-21,2022-02-28,5.7,5.43,-0.047368421052631615,-0.050468421052631614,6100,0.0031
2022 Bear,sideways,5d_10%,002037.SZ,2022-02-24,2022-03-03,13.66,12.4,-0.09224011713030744,-0.09534011713030745,22500,0.0031
2022 Bear,bear,10d_15%,001227.SZ,2022-02-28,2022-03-07,5.42,5.25,-0.03136531365313655,-0.03446531365313655,47900,0.0031
2022 Bear,severe_bear,5d_10%,000838.SZ,2022-03-01,2022-03-08,8.67,8.13,-0.06228373702422141,-0.06538373702422141,35900,0.0031
2022 Bear,severe_bear,5d_10%,000953.SZ,2022-03-04,2022-03-11,9.17,9.47,0.03271537622682663,0.029615376226826633,31100,0.0031
2022 Bear,severe_bear,5d_10%,000788.SZ,2022-03-11,2022-03-18,10.91,14.0,0.2832263978001832,0.2801263978001832,12400,0.0031
2022 Bear,severe_bear,5d_10%,000619.SZ,2022-03-21,2022-03-28,7.59,6.07,-0.2002635046113307,-0.20336350461133068,18700,0.0031
2022 Bear,severe_bear,5d_10%,000797.SZ,2022-04-01,2022-04-12,4.71,4.62,-0.019108280254777066,-0.022208280254777064,77900,0.0031
2022 Bear,severe_bear,5d_10%,000736.SZ,2022-04-06,2022-04-13,17.11,20.18,0.17942723553477502,0.17632723553477503,25700,0.0031
2022 Bear,severe_bear,5d_10%,000514.SZ,2022-04-20,2022-04-27,6.01,4.97,-0.17304492512479197,-0.17614492512479196,24600,0.0031
2022 Bear,severe_bear,5d_10%,001228.SZ,2022-04-29,2022-05-11,48.25,70.65,0.46424870466321266,0.3,2900,0.0031
2022 Bear,sideways,5d_10%,000926.SZ,2022-05-16,2022-05-23,7.2,5.61,-0.22083333333333333,-0.22393333333333332,21400,0.0031
2022 Bear,severe_bear,5d_10%,001318.SZ,2022-05-20,2022-05-27,14.98,21.93,0.46395193591455275,0.3,15500,0.0031
2022 Bear,severe_bear,5d_10%,000957.SZ,2022-05-20,2022-05-27,8.4,12.41,0.47738095238095224,0.3,27700,0.0031
2022 Bear,severe_bear,5d_10%,000909.SZ,2022-05-20,2022-05-27,10.3,9.69,-0.059223300970873916,-0.062323300970873914,22600,0.0031
2022 Bear,recovery,10d_15%,000595.SZ,2022-05-27,2022-06-06,5.94,7.11,0.19696969696969702,0.19386969696969703,30200,0.0031
2022 Bear,recovery,10d_15%,000420.SZ,2022-05-30,2022-06-07,4.1,4.33,0.056097560975609806,0.05299756097560981,99300,0.0031
2022 Bear,recovery,10d_15%,002229.SZ,2022-06-01,2022-06-09,6.56,6.05,-0.0777439024390244,-0.08084390243902441,12400,0.0031
2022 Bear,recovery,10d_15%,000909.SZ,2022-06-01,2022-06-09,13.11,13.69,0.0442410373760489,0.0411410373760489,6200,0.0031
2022 Bear,recovery,10d_15%,001270.SZ,2022-06-07,2022-06-14,37.77,55.31,0.4643897272967963,0.3,10800,0.0031
2022 Bear,bull,5d_10%,000595.SZ,2022-06-13,2022-06-20,5.22,5.42,0.03831417624521083,0.03521417624521083,50200,0.0031
2022 Bear,bull,5d_10%,001270.SZ,2022-06-14,2022-06-21,60.84,89.07,0.4640039447731754,0.3,7600,0.0031
2022 Bear,bull,5d_10%,000633.SZ,2022-06-16,2022-06-23,7.54,7.96,0.0557029177718833,0.0526029177718833,32800,0.0031
2022 Bear,bull,5d_10%,000802.SZ,2022-06-17,2022-06-24,4.48,4.65,0.0379464285714286,0.034846428571428605,11000,0.0031
2022 Bear,bull,5d_10%,000595.SZ,2022-06-21,2022-06-28,5.01,4.76,-0.04990019960079839,-0.05300019960079839,153500,0.0031
2022 Bear,bull,5d_10%,001226.SZ,2022-06-22,2022-06-29,39.06,52.18,0.33589349718381967,0.3,1900,0.0031
2022 Bear,bull,5d_10%,001270.SZ,2022-06-22,2022-06-29,99.5,100.0,0.005025125628140614,0.0019251256281406144,700,0.0031
2022 Bear,bull,5d_10%,000821.SZ,2022-06-28,2022-07-05,25.05,18.0,-0.281437125748503,-0.284537125748503,11600,0.0031
2022 Bear,bull,5d_10%,002168.SZ,2022-06-28,2022-07-05,4.18,3.7,-0.1148325358851674,-0.1179325358851674,69500,0.0031
2022 Bear,bull,5d_10%,000970.SZ,2022-06-28,2022-07-05,18.1,18.49,0.021546961325966674,0.018446961325966675,16000,0.0031
2022 Bear,bull,5d_10%,001268.SZ,2022-06-30,2022-07-07,30.49,37.21,0.22040013119055435,0.21730013119055436,10100,0.0031
2022 Bear,bull,5d_10%,001309.SZ,2022-07-01,2022-07-08,42.04,61.55,0.46408182683158894,0.3,1500,0.0031
2022 Bear,recovery,10d_15%,001270.SZ,2022-07-05,2022-07-12,91.05,88.28,-0.03042284459088407,-0.03352284459088407,3400,0.0031
2022 Bear,recovery,10d_15%,001318.SZ,2022-07-05,2022-07-12,19.22,19.17,-0.002601456815816694,-0.005701456815816694,16100,0.0031
2022 Bear,recovery,10d_15%,002090.SZ,2022-07-06,2022-07-13,13.03,15.62,0.19877206446661555,0.19567206446661556,9700,0.0031
2022 Bear,recovery,10d_15%,000957.SZ,2022-07-07,2022-07-14,19.11,23.21,0.21454735740450026,0.21144735740450027,17000,0.0031
2022 Bear,sideways,5d_10%,001309.SZ,2022-07-08,2022-07-15,67.69,50.16,-0.25897473777515145,-0.26207473777515145,2000,0.0031
2022 Bear,sideways,5d_10%,002591.SZ,2022-07-18,2022-07-25,9.99,11.17,0.11811811811811812,0.11501811811811812,34500,0.0031
2022 Bear,sideways,5d_10%,002330.SZ,2022-07-18,2022-07-25,8.43,7.8,-0.07473309608540923,-0.07783309608540924,40900,0.0031
2022 Bear,sideways,5d_10%,000957.SZ,2022-07-18,2022-07-25,27.5,19.0,-0.3090909090909091,-0.3,12500,0.0031
2022 Bear,sideways,5d_10%,002316.SZ,2022-07-21,2022-07-28,3.46,3.91,0.13005780346820806,0.12695780346820806,30000,0.0031
2022 Bear,sideways,5d_10%,002168.SZ,2022-07-21,2022-07-28,5.9,6.64,0.12542372881355912,0.12232372881355912,17500,0.0031
2022 Bear,bear,10d_15%,001336.SZ,2022-07-25,2022-08-01,36.37,36.51,0.003849326367885597,0.0007493263678855972,7200,0.0031
