window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio
2022 Bear,bear,5d_10%,000503.SZ,stop_loss,2022-01-10,2022-01-13,15.67,14.8865,-0.05,-0.0531,19100,0.0031
2022 Bear,sideways,5d_10%,002330.SZ,matured,2022-01-13,2022-01-20,8.86,12.98,0.46501128668171576,0.46191128668171577,33300,0.0031
2022 Bear,sideways,5d_10%,001227.SZ,matured,2022-01-17,2022-01-24,5.65,6.48,0.14690265486725673,0.14380265486725674,36500,0.0031
2022 Bear,bear,5d_10%,000711.SZ,stop_loss,2022-01-24,2022-01-25,3.88,3.686,-0.05,-0.0531,177700,0.0031
2022 Bear,bear,5d_10%,001296.SZ,stop_loss,2022-01-25,2022-01-27,35.98,34.181,-0.05,-0.0531,9200,0.0031
2022 Bear,bear,5d_10%,000004.SZ,stop_loss,2022-01-26,2022-01-27,23.0,21.849999999999998,-0.05,-0.0531,5000,0.0031
2022 Bear,bear,5d_10%,000711.SZ,stop_loss,2022-01-26,2022-01-27,4.27,4.0565,-0.05,-0.0531,27400,0.0031
2022 Bear,bear,5d_10%,002316.SZ,stop_loss,2022-01-27,2022-02-07,5.86,5.567,-0.05,-0.0531,27700,0.0031
2022 Bear,bear,5d_10%,000620.SZ,stop_loss,2022-01-27,2022-02-07,3.2,3.04,-0.05,-0.0531,50700,0.0031
2022 Bear,bear,5d_10%,002330.SZ,stop_loss,2022-01-28,2022-02-07,8.41,7.9895,-0.05,-0.0531,27000,0.0031
2022 Bear,bear,5d_10%,000620.SZ,matured,2022-02-08,2022-02-15,3.08,3.17,0.02922077922077926,0.02612077922077926,102600,0.0031
2022 Bear,bear,5d_10%,000856.SZ,matured,2022-02-09,2022-02-16,12.62,13.42,0.06339144215530901,0.06029144215530901,17500,0.0031
2022 Bear,sideways,5d_10%,000620.SZ,stop_loss,2022-02-16,2022-02-17,3.19,3.0305,-0.05,-0.0531,86500,0.0031
2022 Bear,sideways,5d_10%,002330.SZ,stop_loss,2022-02-14,2022-02-18,8.45,8.027499999999998,-0.05,-0.0531,18300,0.0031
2022 Bear,bear,5d_10%,002037.SZ,stop_loss,2022-02-22,2022-02-24,16.55,15.7225,-0.05,-0.0531,9500,0.0031
2022 Bear,sideways,5d_10%,001227.SZ,matured,2022-02-22,2022-03-01,5.64,5.61,-0.005319148936170137,-0.008419148936170138,28000,0.0031
