window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio
2022 Bear,bear,10d_15%,000503.SZ,stop_loss,2022-01-10,2022-01-13,15.67,14.8865,-0.05,-0.0531,19100,0.0031
2022 Bear,sideways,5d_10%,001227.SZ,matured,2022-01-17,2022-01-24,5.65,6.48,0.14690265486725673,0.14380265486725674,52200,0.0031
2022 Bear,bear,10d_15%,000711.SZ,stop_loss,2022-01-24,2022-01-25,3.88,3.686,-0.05,-0.0531,158700,0.0031
2022 Bear,bear,10d_15%,002316.SZ,stop_loss,2022-01-25,2022-01-27,7.23,6.8685,-0.05,-0.0531,41200,0.0031
2022 Bear,bear,10d_15%,000004.SZ,stop_loss,2022-01-26,2022-01-27,23.0,21.849999999999998,-0.05,-0.0531,9000,0.0031
2022 Bear,bear,10d_15%,002316.SZ,stop_loss,2022-01-27,2022-02-07,5.86,5.567,-0.05,-0.0531,24700,0.0031
2022 Bear,bear,10d_15%,000620.SZ,stop_loss,2022-01-27,2022-02-07,3.2,3.04,-0.05,-0.0531,45300,0.0031
2022 Bear,bear,10d_15%,002316.SZ,stop_loss,2022-02-07,2022-02-08,5.65,5.3675,-0.05,-0.0531,50500,0.0031
2022 Bear,bear,10d_15%,002316.SZ,stop_loss,2022-02-09,2022-02-10,6.98,6.631,-0.05,-0.0531,14000,0.0031
2022 Bear,bear,10d_15%,000620.SZ,stop_loss,2022-02-10,2022-02-11,3.83,3.6385,-0.05,-0.0531,43200,0.0031
2022 Bear,bear,10d_15%,000519.SZ,matured,2022-02-08,2022-02-15,18.6,19.58,0.05268817204301057,0.049588172043010574,15100,0.0031
2022 Bear,bear,10d_15%,002037.SZ,matured,2022-02-09,2022-02-16,16.31,19.28,0.1820968730839978,0.1789968730839978,6000,0.0031
2022 Bear,sideways,5d_10%,002330.SZ,stop_loss,2022-02-14,2022-02-18,8.45,8.027499999999998,-0.05,-0.0531,19200,0.0031
2022 Bear,bear,10d_15%,002037.SZ,stop_loss,2022-02-24,2022-02-28,13.66,12.977,-0.05,-0.0531,14500,0.0031
2022 Bear,sideways,5d_10%,001227.SZ,matured,2022-02-22,2022-03-01,5.64,5.61,-0.005319148936170137,-0.008419148936170138,50200,0.0031
2022 Bear,sideways,5d_10%,002037.SZ,stop_loss,2022-02-28,2022-03-03,13.45,12.777499999999998,-0.05,-0.0531,14500,0.0031
2022 Bear,sideways,5d_10%,000953.SZ,dd_protection,2022-03-04,2022-03-04,9.17,8.34,-0.09051254089422034,-0.09361254089422034,60300,0.0031
2022 Bear,severe_bear,5d_10%,000619.SZ,stop_loss,2022-03-21,2022-03-22,7.59,7.2105,-0.05,-0.0531,17200,0.0031
2022 Bear,bear,10d_15%,000797.SZ,dd_protection,2022-04-01,2022-04-01,4.71,4.28,-0.09129511677282376,-0.09439511677282376,55000,0.0031
2022 Bear,severe_bear,5d_10%,001228.SZ,dd_protection,2022-04-29,2022-04-29,48.25,43.86,-0.0909844559585492,-0.09408445595854921,2600,0.0031
2022 Bear,sideways,5d_10%,001318.SZ,dd_protection,2022-05-20,2022-05-20,14.98,13.62,-0.09078771695594134,-0.09388771695594135,16500,0.0031
2022 Bear,sideways,5d_10%,000957.SZ,dd_protection,2022-05-20,2022-05-20,8.4,7.7,-0.08333333333333337,-0.08643333333333338,29500,0.0031
2022 Bear,sideways,5d_10%,000595.SZ,dd_protection,2022-05-30,2022-05-30,6.53,5.94,-0.09035222052067382,-0.09345222052067383,71900,0.0031
2022 Bear,bull,5d_10%,001270.SZ,dd_protection,2022-06-16,2022-06-16,73.61,66.92,-0.0908843907077842,-0.09398439070778421,2600,0.0031
2022 Bear,bull,5d_10%,000633.SZ,dd_protection,2022-06-16,2022-06-16,7.54,7.54,0.0,-0.0031,26100,0.0031
2022 Bear,bull,5d_10%,000595.SZ,dd_protection,2022-06-16,2022-06-16,5.36,5.6,0.04477611940298498,0.04167611940298498,36700,0.0031
2022 Bear,bull,5d_10%,001226.SZ,dd_protection,2022-06-24,2022-06-24,47.27,42.97,-0.09096678654537771,-0.09406678654537771,12300,0.0031
2022 Bear,bull,5d_10%,001309.SZ,dd_protection,2022-07-04,2022-07-04,46.24,42.04,-0.09083044982698962,-0.09393044982698963,3800,0.0031
2022 Bear,bull,5d_10%,001268.SZ,dd_protection,2022-07-04,2022-07-04,36.89,33.54,-0.09081051775548932,-0.09391051775548932,4800,0.0031
2022 Bear,bull,5d_10%,001270.SZ,dd_protection,2022-07-04,2022-07-04,98.02,100.19,0.0221383391144665,0.0190383391144665,1800,0.0031
2022 Bear,sideways,5d_10%,001258.SZ,dd_protection,2022-07-28,2022-07-28,5.9,5.36,-0.09152542372881356,-0.09462542372881357,65500,0.0031
2022 Bear,bear,10d_15%,001258.SZ,dd_protection,2022-08-05,2022-08-05,10.45,9.5,-0.09090909090909083,-0.09400909090909083,17400,0.0031
2022 Bear,sideways,5d_10%,001330.SZ,dd_protection,2022-08-23,2022-08-23,10.6,9.64,-0.09056603773584893,-0.09366603773584893,33400,0.0031
2022 Bear,sideways,5d_10%,001259.SZ,dd_protection,2022-08-31,2022-08-31,31.28,28.44,-0.09079283887468026,-0.09389283887468027,5300,0.0031
2022 Bear,sideways,5d_10%,000892.SZ,dd_protection,2022-08-31,2022-08-31,5.35,4.86,-0.09158878504672885,-0.09468878504672885,31200,0.0031
2022 Bear,bear,10d_15%,001269.SZ,dd_protection,2022-10-12,2022-10-12,33.0,30.0,-0.09090909090909094,-0.09400909090909094,2300,0.0031
2022 Bear,bear,10d_15%,001255.SZ,dd_protection,2022-10-12,2022-10-12,41.69,37.9,-0.09090909090909094,-0.09400909090909094,1800,0.0031
2022 Bear,bear,10d_15%,001269.SZ,dd_protection,2022-10-20,2022-10-20,58.45,53.14,-0.09084687767322497,-0.09394687767322497,2600,0.0031
2022 Bear,sideways,5d_10%,000153.SZ,dd_protection,2022-11-15,2022-11-15,11.83,10.96,-0.07354184277261189,-0.07664184277261189,12600,0.0031
2022 Bear,sideways,5d_10%,000863.SZ,dd_protection,2022-11-15,2022-11-15,5.85,5.32,-0.0905982905982905,-0.0936982905982905,25500,0.0031
2022 Bear,sideways,5d_10%,001338.SZ,dd_protection,2022-11-23,2022-11-23,17.4,15.82,-0.09080459770114935,-0.09390459770114935,16200,0.0031
2022 Bear,bull,5d_10%,000597.SZ,dd_protection,2022-12-19,2022-12-19,8.3,7.76,-0.06506024096385554,-0.06816024096385555,21500,0.0031
2022 Bear,bull,5d_10%,001338.SZ,dd_protection,2022-12-19,2022-12-19,20.37,20.0,-0.01816396661757491,-0.02126396661757491,8700,0.0031
2023 Sideways,sideways,5d_10%,001301.SZ,stop_loss,2023-01-03,2023-01-04,71.43,67.8585,-0.05,-0.0531,4100,0.0031
2023 Sideways,sideways,5d_10%,000045.SZ,stop_loss,2023-01-03,2023-01-04,13.42,12.748999999999999,-0.05,-0.0531,22300,0.0031
2023 Sideways,bull,5d_10%,002253.SZ,stop_loss,2023-01-31,2023-02-01,15.99,15.1905,-0.05,-0.0531,24200,0.0031
2023 Sideways,bull,5d_10%,002362.SZ,matured,2023-01-31,2023-02-07,22.28,32.63,0.4645421903052065,0.4614421903052065,17300,0.0031
2023 Sideways,sideways,5d_10%,001314.SZ,stop_loss,2023-02-14,2023-02-20,55.44,52.66799999999999,-0.05,-0.0531,8100,0.0031
2023 Sideways,recovery,5d_10%,000752.SZ,stop_loss,2023-02-14,2023-02-21,4.71,4.4745,-0.05,-0.0531,95500,0.0031
2023 Sideways,sideways,5d_10%,001225.SZ,stop_loss,2023-02-22,2023-02-24,67.81,64.4195,-0.05,-0.0531,9500,0.0031
2023 Sideways,sideways,5d_10%,000925.SZ,dd_protection,2023-02-28,2023-02-28,11.08,10.07,-0.09115523465703967,-0.09425523465703968,56500,0.0031
2023 Sideways,sideways,5d_10%,001337.SZ,matured,2023-03-08,2023-03-15,14.95,21.9,0.4648829431438126,0.46178294314381263,39500,0.0031
2023 Sideways,sideways,5d_10%,001337.SZ,matured,2023-03-15,2023-03-22,24.09,30.18,0.2528019925280198,0.24970199252801983,31300,0.0031
2023 Sideways,sideways,5d_10%,000620.SZ,stop_loss,2023-05-12,2023-05-16,1.2,1.14,-0.05,-0.0531,361200,0.0031
2023 Sideways,bear,10d_15%,000656.SZ,stop_loss,2023-05-22,2023-05-24,1.05,0.9974999999999999,-0.05,-0.0531,199300,0.0031
2023 Sideways,bear,10d_15%,001287.SZ,matured,2023-05-17,2023-05-24,26.51,27.0,0.018483591097698815,0.015383591097698815,16000,0.0031
