window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio,effective_threshold
2022 Bear,bear,5d_10%,000503.SZ,stop_loss,2022-01-10,2022-01-13,15.67,14.8865,-0.05,-0.0531,19100,0.0031,0.3
2022 Bear,sideways,5d_10%,002330.SZ,matured,2022-01-13,2022-01-20,8.86,12.98,0.46501128668171576,0.46191128668171577,33300,0.0031,0.35
2022 Bear,sideways,5d_10%,001227.SZ,matured,2022-01-17,2022-01-24,5.65,6.48,0.14690265486725673,0.14380265486725674,36500,0.0031,0.35
2022 Bear,bear,5d_10%,000711.SZ,stop_loss,2022-01-24,2022-01-25,3.88,3.686,-0.05,-0.0531,177700,0.0031,0.3
2022 Bear,bear,5d_10%,001296.SZ,stop_loss,2022-01-25,2022-01-27,35.98,34.181,-0.05,-0.0531,9200,0.0031,0.3
2022 Bear,bear,5d_10%,000004.SZ,stop_loss,2022-01-26,2022-01-27,23.0,21.849999999999998,-0.05,-0.0531,10100,0.0031,0.3
2022 Bear,bear,5d_10%,002316.SZ,stop_loss,2022-01-27,2022-02-07,5.86,5.567,-0.05,-0.0531,27700,0.0031,0.3
2022 Bear,bear,5d_10%,000620.SZ,stop_loss,2022-01-27,2022-02-07,3.2,3.04,-0.05,-0.0531,50700,0.0031,0.3
2022 Bear,bear,5d_10%,002330.SZ,stop_loss,2022-01-28,2022-02-07,8.41,7.9895,-0.05,-0.0531,27000,0.0031,0.3
2022 Bear,bear,5d_10%,000856.SZ,matured,2022-02-09,2022-02-16,12.62,13.42,0.06339144215530901,0.06029144215530901,18700,0.0031,0.3
2022 Bear,bear,5d_10%,002037.SZ,stop_loss,2022-02-22,2022-02-24,16.55,15.7225,-0.05,-0.0531,9600,0.0031,0.3
2022 Bear,sideways,5d_10%,001227.SZ,matured,2022-02-22,2022-03-01,5.64,5.61,-0.005319148936170137,-0.008419148936170138,28400,0.0031,0.35
2022 Bear,severe_bear,5d_10%,000950.SZ,stop_loss,2022-03-07,2022-03-08,6.29,5.975499999999999,-0.05,-0.0531,10000,0.0031,0.4
2022 Bear,severe_bear,5d_10%,000953.SZ,matured,2022-03-04,2022-03-11,9.17,9.47,0.03271537622682663,0.029615376226826633,69200,0.0031,0.4
2022 Bear,severe_bear,5d_10%,001227.SZ,matured,2022-03-07,2022-03-14,5.22,5.37,0.028735632183908066,0.025635632183908068,12100,0.0031,0.4
2022 Bear,severe_bear,5d_10%,000788.SZ,matured,2022-03-11,2022-03-18,10.91,14.0,0.2832263978001832,0.2801263978001832,13800,0.0031,0.4
2022 Bear,severe_bear,5d_10%,000619.SZ,stop_loss,2022-03-21,2022-03-22,7.59,7.2105,-0.05,-0.0531,22000,0.0031,0.4
2022 Bear,severe_bear,5d_10%,000797.SZ,matured,2022-04-01,2022-04-12,4.71,4.62,-0.019108280254777066,-0.022208280254777064,70600,0.0031,0.4
2022 Bear,severe_bear,5d_10%,000514.SZ,stop_loss,2022-04-20,2022-04-22,6.01,5.709499999999999,-0.05,-0.0531,27400,0.0031,0.4
2022 Bear,severe_bear,5d_10%,001228.SZ,matured,2022-04-29,2022-05-11,48.25,70.65,0.46424870466321266,0.46114870466321267,3300,0.0031,0.4
2022 Bear,severe_bear,5d_10%,000926.SZ,stop_loss,2022-05-16,2022-05-17,7.2,6.84,-0.05,-0.0531,24200,0.0031,0.4
2022 Bear,severe_bear,5d_10%,001318.SZ,matured,2022-05-20,2022-05-27,14.98,21.93,0.46395193591455275,0.46085193591455276,46300,0.0031,0.5
2022 Bear,bull,5d_10%,001270.SZ,matured,2022-06-15,2022-06-22,66.92,93.52,0.39748953974895396,0.39438953974895397,17600,0.0031,0.35
2022 Bear,bull,5d_10%,001226.SZ,matured,2022-06-22,2022-06-29,39.06,52.18,0.33589349718381967,0.3327934971838197,39700,0.0031,0.35
2022 Bear,bull,5d_10%,001268.SZ,matured,2022-06-30,2022-07-07,30.49,37.21,0.22040013119055435,0.21730013119055436,64400,0.0031,0.35
2022 Bear,bull,5d_10%,001309.SZ,matured,2022-07-01,2022-07-08,42.04,61.55,0.46408182683158894,0.46098182683158895,9200,0.0031,0.35
2022 Bear,recovery,5d_10%,001270.SZ,stop_loss,2022-07-05,2022-07-11,91.05,86.49749999999999,-0.05,-0.0531,800,0.0031,0.5
2022 Bear,recovery,5d_10%,001309.SZ,stop_loss,2022-07-08,2022-07-11,67.69,64.3055,-0.05,-0.0531,35200,0.0031,0.5
2022 Bear,bear,5d_10%,000837.SZ,stop_loss,2022-07-29,2022-08-01,12.31,11.6945,-0.05,-0.0531,11300,0.0031,0.35
2022 Bear,bear,5d_10%,001336.SZ,matured,2022-07-25,2022-08-01,36.37,36.51,0.003849326367885597,0.0007493263678855972,48300,0.0031,0.35
2022 Bear,bear,5d_10%,001258.SZ,matured,2022-07-27,2022-08-03,5.36,7.85,0.46455223880596996,0.46145223880596997,130900,0.0031,0.3
2022 Bear,bear,5d_10%,001258.SZ,matured,2022-08-03,2022-08-10,8.64,12.65,0.46412037037037024,0.46102037037037025,56300,0.0031,0.3
2022 Bear,bear,5d_10%,001226.SZ,matured,2022-08-03,2022-08-10,34.22,34.76,0.015780245470485177,0.012680245470485177,14200,0.0031,0.3
2022 Bear,sideways,5d_10%,001258.SZ,matured,2022-08-10,2022-08-17,13.92,18.34,0.31752873563218387,0.3144287356321839,74900,0.0031,0.35
2022 Bear,sideways,5d_10%,001330.SZ,matured,2022-08-18,2022-08-25,7.96,11.66,0.46482412060301503,0.46172412060301504,143300,0.0031,0.35
2022 Bear,sideways,5d_10%,000045.SZ,matured,2022-08-18,2022-08-25,10.6,10.62,0.0018867924528300772,-0.0012132075471699227,107600,0.0031,0.35
2022 Bear,sideways,5d_10%,001330.SZ,matured,2022-08-25,2022-09-01,12.83,13.8,0.07560405300077955,0.07250405300077954,101100,0.0031,0.35
2022 Bear,sideways,5d_10%,001258.SZ,matured,2022-08-25,2022-09-01,14.31,15.95,0.11460517120894465,0.11150517120894464,90700,0.0031,0.35
2022 Bear,sideways,5d_10%,000892.SZ,stop_loss,2022-08-31,2022-09-06,5.35,5.0825,-0.05,-0.0531,96900,0.0031,0.35
2022 Bear,sideways,5d_10%,001283.SZ,stop_loss,2022-09-05,2022-09-06,82.67,78.5365,-0.05,-0.0531,12800,0.0031,0.35
2022 Bear,sideways,5d_10%,001259.SZ,matured,2022-08-31,2022-09-07,31.28,31.8,0.01662404092071612,0.01352404092071612,16500,0.0031,0.35
2022 Bear,bear,5d_10%,000510.SZ,stop_loss,2022-09-20,2022-09-21,7.82,7.429,-0.05,-0.0531,120400,0.0031,0.3
2022 Bear,bear,5d_10%,001330.SZ,matured,2022-09-16,2022-09-23,10.59,10.42,-0.016052880075542952,-0.01915288007554295,127100,0.0031,0.35
2022 Bear,bear,5d_10%,001332.SZ,stop_loss,2022-09-22,2022-09-28,82.37,78.25150000000001,-0.05,-0.0531,7800,0.0031,0.35
2022 Bear,bear,5d_10%,003027.SZ,matured,2022-09-21,2022-09-28,23.73,27.47,0.15760640539401605,0.15450640539401606,39000,0.0031,0.35
2022 Bear,bear,5d_10%,001259.SZ,stop_loss,2022-09-29,2022-09-30,32.99,31.3405,-0.05,-0.0531,41100,0.0031,0.3
2022 Bear,bear,5d_10%,001255.SZ,matured,2022-09-30,2022-10-14,31.32,33.05,0.05523627075351212,0.05213627075351212,21300,0.0031,0.3
2022 Bear,bear,5d_10%,001269.SZ,matured,2022-09-30,2022-10-14,24.79,36.3,0.46430012101653895,0.46120012101653896,26900,0.0031,0.3
2022 Bear,bear,5d_10%,001269.SZ,matured,2022-10-14,2022-10-21,39.93,58.45,0.4638116704232407,0.4607116704232407,26900,0.0031,0.3
2022 Bear,severe_bear,5d_10%,002253.SZ,stop_loss,2022-11-02,2022-11-03,17.56,16.682,-0.05,-0.0531,90200,0.0031,0.4
2022 Bear,sideways,5d_10%,000153.SZ,stop_loss,2022-11-15,2022-11-16,11.83,11.2385,-0.05,-0.0531,263800,0.0031,0.39999999999999997
2022 Bear,sideways,5d_10%,001338.SZ,matured,2022-11-16,2022-11-23,10.8,15.82,0.4648148148148148,0.4617148148148148,279700,0.0031,0.39999999999999997
2022 Bear,recovery,5d_10%,001338.SZ,matured,2022-11-23,2022-11-30,17.4,21.3,0.22413793103448287,0.22103793103448288,221600,0.0031,0.45
2022 Bear,bull,5d_10%,001333.SZ,stop_loss,2022-12-08,2022-12-12,41.95,39.8525,-0.05,-0.0531,27600,0.0031,0.3
2022 Bear,recovery,5d_10%,001256.SZ,stop_loss,2022-12-07,2022-12-13,26.14,24.833,-0.05,-0.0531,222700,0.0031,0.45
2022 Bear,recovery,5d_10%,000597.SZ,stop_loss,2022-12-19,2022-12-23,8.3,7.885000000000001,-0.05,-0.0531,332900,0.0031,0.45
2022 Bear,recovery,5d_10%,001338.SZ,matured,2022-12-19,2022-12-26,20.37,20.31,-0.002945508100147376,-0.006045508100147376,135600,0.0031,0.4
2023 Sideways,sideways,5d_10%,001301.SZ,stop_loss,2023-01-03,2023-01-04,71.43,67.8585,-0.05,-0.0531,4100,0.0031,0.35
2023 Sideways,sideways,5d_10%,000045.SZ,stop_loss,2023-01-03,2023-01-04,13.42,12.748999999999999,-0.05,-0.0531,22300,0.0031,0.35
2023 Sideways,bull,5d_10%,002253.SZ,stop_loss,2023-01-31,2023-02-01,15.99,15.1905,-0.05,-0.0531,24200,0.0031,0.25
2023 Sideways,bull,5d_10%,002362.SZ,matured,2023-01-31,2023-02-07,22.28,32.63,0.4645421903052065,0.4614421903052065,17300,0.0031,0.25
2023 Sideways,sideways,5d_10%,001314.SZ,stop_loss,2023-02-14,2023-02-20,55.44,52.66799999999999,-0.05,-0.0531,8100,0.0031,0.35
2023 Sideways,recovery,5d_10%,000752.SZ,stop_loss,2023-02-14,2023-02-21,4.71,4.4745,-0.05,-0.0531,95500,0.0031,0.4
2023 Sideways,sideways,5d_10%,001225.SZ,stop_loss,2023-02-22,2023-02-24,67.81,64.4195,-0.05,-0.0531,9500,0.0031,0.35
2023 Sideways,sideways,5d_10%,000925.SZ,stop_loss,2023-02-28,2023-03-01,11.08,10.526,-0.05,-0.0531,42300,0.0031,0.35
2023 Sideways,sideways,5d_10%,001337.SZ,matured,2023-03-03,2023-03-10,11.23,16.45,0.4648263579697238,0.46172635796972383,40800,0.0031,0.35
