window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio,effective_threshold
2022 Bear,bear,10d_15%,000503.SZ,stop_loss,2022-01-10,2022-01-13,15.67,14.8865,-0.05,-0.0531,19100,0.0031,0.35
2022 Bear,sideways,5d_10%,001227.SZ,matured,2022-01-17,2022-01-24,5.65,6.48,0.14690265486725673,0.14380265486725674,52200,0.0031,0.39999999999999997
2022 Bear,bear,10d_15%,000004.SZ,stop_loss,2022-01-26,2022-01-27,23.0,21.849999999999998,-0.05,-0.0531,13300,0.0031,0.35
2022 Bear,sideways,5d_10%,001227.SZ,matured,2022-02-23,2022-03-02,5.6,5.54,-0.010714285714285676,-0.013814285714285677,54100,0.0031,0.39999999999999997
2022 Bear,severe_bear,5d_10%,000953.SZ,matured,2022-03-04,2022-03-11,9.17,9.47,0.03271537622682663,0.029615376226826633,65800,0.0031,0.45
2022 Bear,severe_bear,5d_10%,000619.SZ,stop_loss,2022-03-21,2022-03-22,7.59,7.2105,-0.05,-0.0531,20200,0.0031,0.45
2022 Bear,severe_bear,5d_10%,000797.SZ,stop_loss,2022-04-06,2022-04-12,5.18,4.920999999999999,-0.05,-0.0531,117600,0.0031,0.45
2022 Bear,severe_bear,5d_10%,001228.SZ,matured,2022-04-29,2022-05-11,48.25,70.65,0.46424870466321266,0.46114870466321267,3000,0.0031,0.45
2022 Bear,severe_bear,5d_10%,001318.SZ,matured,2022-05-20,2022-05-27,14.98,21.93,0.46395193591455275,0.46085193591455276,42000,0.0031,0.45
2022 Bear,recovery,5d_10%,000595.SZ,matured,2022-05-30,2022-06-07,6.53,6.4,-0.019908116385911168,-0.023008116385911166,123000,0.0031,0.45
2022 Bear,bull,5d_10%,001270.SZ,matured,2022-06-15,2022-06-22,66.92,93.52,0.39748953974895396,0.39438953974895397,15700,0.0031,0.3
2022 Bear,bull,5d_10%,000821.SZ,stop_loss,2022-06-28,2022-06-29,25.05,23.7975,-0.05,-0.0531,11000,0.0031,0.3
2022 Bear,bull,5d_10%,001226.SZ,matured,2022-06-22,2022-06-29,39.06,52.18,0.33589349718381967,0.3327934971838197,35500,0.0031,0.3
2022 Bear,bull,5d_10%,001268.SZ,matured,2022-06-30,2022-07-07,30.49,37.21,0.22040013119055435,0.21730013119055436,57200,0.0031,0.35
2022 Bear,bull,5d_10%,001309.SZ,matured,2022-07-01,2022-07-08,42.04,61.55,0.46408182683158894,0.46098182683158895,8200,0.0031,0.35
2022 Bear,recovery,5d_10%,001270.SZ,stop_loss,2022-07-05,2022-07-11,91.05,86.49749999999999,-0.05,-0.0531,700,0.0031,0.5
2022 Bear,recovery,5d_10%,001309.SZ,stop_loss,2022-07-08,2022-07-11,67.69,64.3055,-0.05,-0.0531,31300,0.0031,0.5
2022 Bear,bear,10d_15%,001336.SZ,matured,2022-07-25,2022-08-01,36.37,36.51,0.003849326367885597,0.0007493263678855972,42900,0.0031,0.35
2022 Bear,bear,10d_15%,001258.SZ,matured,2022-07-27,2022-08-03,5.36,7.85,0.46455223880596996,0.46145223880596997,116300,0.0031,0.35
2022 Bear,bear,10d_15%,001258.SZ,matured,2022-08-03,2022-08-10,8.64,12.65,0.46412037037037024,0.46102037037037025,50100,0.0031,0.35
2022 Bear,bear,10d_15%,001226.SZ,matured,2022-08-03,2022-08-10,34.22,34.76,0.015780245470485177,0.012680245470485177,12600,0.0031,0.35
2022 Bear,sideways,5d_10%,001258.SZ,matured,2022-08-10,2022-08-17,13.92,18.34,0.31752873563218387,0.3144287356321839,66700,0.0031,0.39999999999999997
2022 Bear,sideways,5d_10%,001330.SZ,matured,2022-08-18,2022-08-25,7.96,11.66,0.46482412060301503,0.46172412060301504,127600,0.0031,0.39999999999999997
2022 Bear,sideways,5d_10%,000045.SZ,matured,2022-08-18,2022-08-25,10.6,10.62,0.0018867924528300772,-0.0012132075471699227,95800,0.0031,0.39999999999999997
2022 Bear,sideways,5d_10%,001330.SZ,matured,2022-08-25,2022-09-01,12.83,13.8,0.07560405300077955,0.07250405300077954,180100,0.0031,0.39999999999999997
2022 Bear,sideways,5d_10%,001283.SZ,stop_loss,2022-09-05,2022-09-06,82.67,78.5365,-0.05,-0.0531,7800,0.0031,0.39999999999999997
2022 Bear,sideways,5d_10%,001259.SZ,matured,2022-08-31,2022-09-07,31.28,31.8,0.01662404092071612,0.01352404092071612,29500,0.0031,0.39999999999999997
2022 Bear,sideways,5d_10%,301306.SZ,matured,2022-09-02,2022-09-09,43.46,47.32,0.08881730326737225,0.08571730326737224,21300,0.0031,0.39999999999999997
2022 Bear,bear,10d_15%,001332.SZ,stop_loss,2022-09-22,2022-09-28,82.37,78.25150000000001,-0.05,-0.0531,14800,0.0031,0.35
2022 Bear,bear,10d_15%,001330.SZ,stop_loss,2022-09-23,2022-09-29,10.44,9.918,-0.05,-0.0531,82100,0.0031,0.35
2022 Bear,bear,10d_15%,001255.SZ,matured,2022-09-30,2022-10-14,31.32,33.05,0.05523627075351212,0.05213627075351212,19000,0.0031,0.35
2022 Bear,bear,10d_15%,001269.SZ,matured,2022-09-30,2022-10-14,24.79,36.3,0.46430012101653895,0.46120012101653896,24000,0.0031,0.35
2022 Bear,bear,10d_15%,001269.SZ,matured,2022-10-14,2022-10-21,39.93,58.45,0.4638116704232407,0.4607116704232407,32100,0.0031,0.35
2022 Bear,sideways,5d_10%,000153.SZ,stop_loss,2022-11-15,2022-11-16,11.83,11.2385,-0.05,-0.0531,246500,0.0031,0.39999999999999997
2022 Bear,sideways,5d_10%,001338.SZ,matured,2022-11-16,2022-11-23,10.8,15.82,0.4648148148148148,0.4617148148148148,261500,0.0031,0.39999999999999997
2022 Bear,recovery,5d_10%,001338.SZ,matured,2022-11-23,2022-11-30,17.4,21.3,0.22413793103448287,0.22103793103448288,207200,0.0031,0.45
2022 Bear,bull,5d_10%,001333.SZ,stop_loss,2022-12-08,2022-12-12,41.95,39.8525,-0.05,-0.0531,25800,0.0031,0.3
2022 Bear,recovery,5d_10%,001256.SZ,stop_loss,2022-12-07,2022-12-13,26.14,24.833,-0.05,-0.0531,208200,0.0031,0.45
2022 Bear,recovery,5d_10%,000597.SZ,stop_loss,2022-12-19,2022-12-23,8.3,7.885000000000001,-0.05,-0.0531,311200,0.0031,0.45
2022 Bear,recovery,5d_10%,001338.SZ,matured,2022-12-19,2022-12-26,20.37,20.31,-0.002945508100147376,-0.006045508100147376,126800,0.0031,0.45
2023 Sideways,sideways,5d_10%,001301.SZ,stop_loss,2023-01-03,2023-01-04,71.43,67.8585,-0.05,-0.0531,8300,0.0031,0.39999999999999997
2023 Sideways,bull,5d_10%,002362.SZ,matured,2023-01-31,2023-02-07,22.28,32.63,0.4645421903052065,0.4614421903052065,34700,0.0031,0.3
2023 Sideways,sideways,5d_10%,001314.SZ,stop_loss,2023-02-14,2023-02-20,55.44,52.66799999999999,-0.05,-0.0531,9500,0.0031,0.39999999999999997
2023 Sideways,recovery,5d_10%,000752.SZ,stop_loss,2023-02-14,2023-02-21,4.71,4.4745,-0.05,-0.0531,112400,0.0031,0.45
2023 Sideways,sideways,5d_10%,001225.SZ,stop_loss,2023-02-22,2023-02-24,67.81,64.4195,-0.05,-0.0531,11200,0.0031,0.39999999999999997
2023 Sideways,sideways,5d_10%,000925.SZ,stop_loss,2023-02-28,2023-03-01,11.08,10.526,-0.05,-0.0531,49800,0.0031,0.39999999999999997
2023 Sideways,sideways,5d_10%,001337.SZ,matured,2023-03-03,2023-03-10,11.23,16.45,0.4648263579697238,0.46172635796972383,48000,0.0031,0.39999999999999997
2023 Sideways,sideways,5d_10%,001337.SZ,matured,2023-03-10,2023-03-17,18.1,26.5,0.4640883977900552,0.4609883977900552,35900,0.0031,0.39999999999999997
2023 Sideways,sideways,5d_10%,001337.SZ,matured,2023-03-17,2023-03-24,29.15,30.47,0.04528301886792452,0.04218301886792452,35900,0.0031,0.39999999999999997
2023 Sideways,bear,10d_15%,000656.SZ,stop_loss,2023-05-22,2023-05-24,1.05,0.9974999999999999,-0.05,-0.0531,511600,0.0031,0.35
2023 Sideways,sideways,5d_10%,000752.SZ,matured,2023-09-11,2023-09-18,8.75,10.64,0.21599999999999997,0.21289999999999998,120800,0.0031,0.39999999999999997
2023 Sideways,sideways,5d_10%,000752.SZ,stop_loss,2023-10-11,2023-10-13,8.56,8.132,-0.05,-0.0531,69600,0.0031,0.39999999999999997
2023 Sideways,sideways,5d_10%,002238.SZ,stop_loss,2023-11-10,2023-11-14,13.2,12.54,-0.05,-0.0531,88800,0.0031,0.44999999999999996
2024-2025 Recovery,severe_bear,5d_10%,002549.SZ,stop_loss,2024-01-31,2024-02-02,6.71,6.374499999999999,-0.05,-0.0531,14900,0.0031,0.45
2024-2025 Recovery,severe_bear,5d_10%,001358.SZ,stop_loss,2024-01-31,2024-02-02,32.44,30.817999999999998,-0.05,-0.0531,3000,0.0031,0.45
2024-2025 Recovery,severe_bear,5d_10%,300053.SZ,stop_loss,2024-01-31,2024-02-02,8.86,8.417,-0.05,-0.0531,11200,0.0031,0.45
