window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio,effective_threshold
2022 Bear,bear,10d_15%,000503.SZ,stop_loss,2022-01-10,2022-01-13,15.67,14.8865,-0.05,-0.0531,19100,0.0031,0.3
2022 Bear,sideways,5d_10%,001227.SZ,matured,2022-01-17,2022-01-24,5.65,6.48,0.14690265486725673,0.14380265486725674,52200,0.0031,0.35
2022 Bear,bear,10d_15%,000711.SZ,stop_loss,2022-01-24,2022-01-25,3.88,3.686,-0.05,-0.0531,158700,0.0031,0.3
2022 Bear,bear,10d_15%,002316.SZ,stop_loss,2022-01-25,2022-01-27,7.23,6.8685,-0.05,-0.0531,41200,0.0031,0.3
2022 Bear,bear,10d_15%,000004.SZ,stop_loss,2022-01-26,2022-01-27,23.0,21.849999999999998,-0.05,-0.0531,9000,0.0031,0.3
2022 Bear,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2022-01-27,2022-01-27,0.0,0.0,0.0,0.0,0,0.0,0.3
2022 Bear,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2022-01-28,2022-01-28,0.0,0.0,0.0,0.0,0,0.0,0.3
2022 Bear,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2022-02-07,2022-02-07,0.0,0.0,0.0,0.0,0,0.0,0.3
2022 Bear,bear,10d_15%,000620.SZ,stop_loss,2022-02-10,2022-02-11,3.83,3.6385,-0.05,-0.0531,37200,0.0031,0.3
2022 Bear,bear,10d_15%,000519.SZ,matured,2022-02-08,2022-02-15,18.6,19.58,0.05268817204301057,0.049588172043010574,15500,0.0031,0.4
2022 Bear,bear,10d_15%,002037.SZ,matured,2022-02-09,2022-02-16,16.31,19.28,0.1820968730839978,0.1789968730839978,12400,0.0031,0.4
2022 Bear,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2022-03-07,2022-03-07,0.0,0.0,0.0,0.0,0,0.0,0.4
2022 Bear,severe_bear,5d_10%,__MARKET_SHOCK__,shock_filter,2022-03-08,2022-03-08,0.0,0.0,0.0,0.0,0,0.0,0.5
2022 Bear,severe_bear,5d_10%,__MARKET_SHOCK__,shock_filter,2022-03-09,2022-03-09,0.0,0.0,0.0,0.0,0,0.0,0.5
2022 Bear,severe_bear,5d_10%,__MARKET_SHOCK__,shock_filter,2022-03-10,2022-03-10,0.0,0.0,0.0,0.0,0,0.0,0.5
2022 Bear,severe_bear,5d_10%,__MARKET_SHOCK__,shock_filter,2022-03-11,2022-03-11,0.0,0.0,0.0,0.0,0,0.0,0.5
2022 Bear,severe_bear,5d_10%,__MARKET_SHOCK__,shock_filter,2022-03-14,2022-03-14,0.0,0.0,0.0,0.0,0,0.0,0.5
2022 Bear,severe_bear,5d_10%,__MARKET_SHOCK__,shock_filter,2022-03-15,2022-03-15,0.0,0.0,0.0,0.0,0,0.0,0.5
