window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio
2022 Bear,bear,10d_15%,001317.SZ,matured,2022-01-05,2022-01-12,80.0,84.1,0.05125000000000002,0.04815000000000002,1800,0.0031
2022 Bear,bear,10d_15%,002034.SZ,matured,2022-01-05,2022-01-12,19.5,19.75,0.012820512820512775,0.009720512820512775,7600,0.0031
2022 Bear,bear,10d_15%,000503.SZ,stop_loss,2022-01-10,2022-01-13,15.67,14.8865,-0.05,-0.0531,13500,0.0031
2022 Bear,bear,10d_15%,002316.SZ,stop_loss,2022-01-20,2022-01-21,9.16,8.702,-0.05,-0.0531,16000,0.0031
2022 Bear,sideways,5d_10%,001227.SZ,matured,2022-01-17,2022-01-24,5.65,6.48,0.14690265486725673,0.14380265486725674,52900,0.0031
2022 Bear,bear,10d_15%,002330.SZ,stop_loss,2022-01-18,2022-01-25,11.0,10.45,-0.05,-0.0531,19000,0.0031
2022 Bear,bear,10d_15%,000711.SZ,stop_loss,2022-01-24,2022-01-25,3.88,3.686,-0.05,-0.0531,31800,0.0031
2022 Bear,bear,10d_15%,001296.SZ,stop_loss,2022-01-24,2022-01-27,35.65,33.8675,-0.05,-0.0531,3400,0.0031
2022 Bear,bear,10d_15%,000004.SZ,stop_loss,2022-01-26,2022-01-27,23.0,21.849999999999998,-0.05,-0.0531,11600,0.0031
2022 Bear,bear,10d_15%,000620.SZ,stop_loss,2022-02-10,2022-02-11,3.83,3.6385,-0.05,-0.0531,38100,0.0031
2022 Bear,bear,10d_15%,000519.SZ,matured,2022-02-08,2022-02-15,18.6,19.58,0.05268817204301057,0.049588172043010574,16000,0.0031
2022 Bear,bear,10d_15%,002037.SZ,matured,2022-02-09,2022-02-16,16.31,19.28,0.1820968730839978,0.1789968730839978,12800,0.0031
2022 Bear,sideways,5d_10%,002330.SZ,stop_loss,2022-02-14,2022-02-18,8.45,8.027499999999998,-0.05,-0.0531,17000,0.0031
2022 Bear,sideways,5d_10%,000711.SZ,stop_loss,2022-02-17,2022-02-18,4.77,4.531499999999999,-0.05,-0.0531,28100,0.0031
2022 Bear,bear,10d_15%,002037.SZ,stop_loss,2022-02-17,2022-02-24,15.62,14.838999999999999,-0.05,-0.0531,8500,0.0031
2022 Bear,bear,10d_15%,001227.SZ,stop_loss,2022-02-21,2022-02-28,5.7,5.415,-0.05,-0.0531,46800,0.0031
2022 Bear,bear,10d_15%,000838.SZ,stop_loss,2022-03-01,2022-03-07,8.67,8.2365,-0.05,-0.0531,34600,0.0031
2022 Bear,severe_bear,5d_10%,000953.SZ,matured,2022-03-04,2022-03-11,9.17,9.47,0.03271537622682663,0.029615376226826633,22900,0.0031
