date,value,cash,positions,regime,model,num_positions,monthly_halted,ret,cummax,window
2022-01-04,1000000.0,1000000.0,0.0,recovery,5d_10%,0,False,0.0,1000000.0,2022 Bear
2022-01-05,1002288.14,707420.14,294868.0,sideways,5d_10%,2,False,0.002288140000000105,1002288.14,2022 Bear
2022-01-06,1011760.14,707420.14,304340.0,bear,5d_10%,2,False,0.009450376216164846,1011760.14,2022 Bear
2022-01-07,1008120.14,707420.14,300700.0,bear,5d_10%,2,False,-0.003597690654229546,1011760.14,2022 Bear
2022-01-10,1034389.1315,495600.1315,538789.0,bear,5d_10%,3,False,0.026057401749755682,1034389.1315,2022 Bear
2022-01-11,1019002.1315,495600.1315,523402.0,bear,5d_10%,3,False,-0.014875446320367636,1034389.1315,2022 Bear
2022-01-12,1015372.4675,796537.4675,218835.0,bear,5d_10%,1,False,-0.003561978810247446,1034389.1315,2022 Bear
2022-01-13,969458.31895,698173.31895,271285.0,bear,5d_10%,1,False,-0.04521902062505945,1034389.1315,2022 Bear
2022-01-14,996755.31895,698173.31895,298582.0,bear,5d_10%,1,False,0.028156960919748286,1034389.1315,2022 Bear
2022-01-17,1007606.55395,488851.55395,518755.0,bear,5d_10%,2,False,0.01088655840977193,1034389.1315,2022 Bear
2022-01-18,1059502.55395,488851.55395,570651.0,sideways,5d_10%,2,False,0.05150423029361839,1059502.55395,2022 Bear
2022-01-19,1116651.55395,488851.55395,627800.0,sideways,5d_10%,2,False,0.05393946412581929,1116651.55395,2022 Bear
2022-01-20,1154272.37475,647581.37475,506691.0,sideways,5d_10%,2,False,0.0336907432465583,1154272.37475,2022 Bear
2022-01-21,1177177.36767,910777.36767,266400.0,bear,5d_10%,1,False,0.01984366378426161,1177177.36767,2022 Bear
2022-01-24,1135463.3900700002,806267.3900700001,329196.0,sideways,5d_10%,2,False,-0.0354355925841191,1177177.36767,2022 Bear
2022-01-25,1144159.2049500002,969631.20495,174528.0,bear,5d_10%,1,False,0.007658384194547896,1177177.36767,2022 Bear
2022-01-26,1130048.1009499999,679174.10095,450874.0,bear,5d_10%,3,False,-0.012333164771957561,1177177.36767,2022 Bear
2022-01-27,1152920.7679500002,781720.7679500001,371200.0,bear,5d_10%,2,False,0.020240436651123073,1177177.36767,2022 Bear
2022-01-28,1111894.83055,547618.8305500001,564276.0,bear,5d_10%,3,False,-0.0355843511024162,1177177.36767,2022 Bear
