date,value,cash,positions,regime,model,num_positions,monthly_halted,ret,cummax,window
2022-01-04,1000000.0,1000000.0,0.0,recovery,5d_10%,0,False,0.0,1000000.0,2022 Bear
2022-01-05,1002288.14,707420.14,294868.0,sideways,5d_10%,2,False,0.002288140000000105,1002288.14,2022 Bear
2022-01-06,1011760.14,707420.14,304340.0,bear,10d_15%,2,False,0.009450376216164846,1011760.14,2022 Bear
2022-01-07,1008120.14,707420.14,300700.0,bear,10d_15%,2,False,-0.003597690654229546,1011760.14,2022 Bear
2022-01-10,1034389.1315,495600.1315,538789.0,bear,10d_15%,3,False,0.026057401749755682,1034389.1315,2022 Bear
2022-01-11,1019002.1315,495600.1315,523402.0,bear,10d_15%,3,False,-0.014875446320367636,1034389.1315,2022 Bear
2022-01-12,1015372.4675,796537.4675,218835.0,bear,10d_15%,1,False,-0.003561978810247446,1034389.1315,2022 Bear
2022-01-13,997143.4755500001,997143.4755500001,0.0,bear,10d_15%,0,False,-0.017953009888954763,1034389.1315,2022 Bear
2022-01-14,997143.4755500001,997143.4755500001,0.0,bear,10d_15%,0,False,0.0,1034389.1315,2022 Bear
2022-01-17,969775.9250500001,697869.9250500001,271906.0,bear,10d_15%,1,False,-0.027445950528738883,1034389.1315,2022 Bear
2022-01-18,991353.22505,488598.22505000007,502755.0,sideways,5d_10%,2,False,0.022249778987746494,1034389.1315,2022 Bear
2022-01-19,1041836.22505,488598.22505000007,553238.0,sideways,5d_10%,2,False,0.05092332250944542,1041836.22505,2022 Bear
2022-01-20,1084223.69705,341847.6970500001,742376.0,sideways,5d_10%,3,False,0.04068535051943112,1084223.69705,2022 Bear
2022-01-21,1083629.07945,480829.0794500001,602800.0,bear,10d_15%,2,False,-0.0005484270465752061,1084223.69705,2022 Bear
2022-01-24,1030438.0816500001,578092.0816500001,452346.0,sideways,5d_10%,3,False,-0.04908598228740535,1084223.69705,2022 Bear
2022-01-25,1046164.74201,625430.74201,420734.0,bear,10d_15%,2,False,0.01526211097984409,1084223.69705,2022 Bear
2022-01-26,1003902.55201,438888.55201000004,565014.0,bear,10d_15%,3,False,-0.040397260873848206,1084223.69705,2022 Bear
2022-01-27,1016241.2800100001,689185.2800100001,327056.0,bear,10d_15%,2,False,0.012290762659479038,1084223.69705,2022 Bear
2022-01-28,983791.2800100001,689185.2800100001,294606.0,bear,10d_15%,2,False,-0.03193139330030037,1084223.69705,2022 Bear
